Code,Potential Matches
R05,"Conflict for R05: multiple matches ['R051', 'R052', 'R053', 'R054', 'R058', 'R059'], chose R051"
M545,"Conflict for M545: multiple matches ['M5450', 'M5451', 'M5459'], chose M5450"
Z9119,"Conflict for Z9119: multiple matches ['Z91190', 'Z91198', 'Z91199'], chose Z91190"
Z9889,"Conflict for Z9889: multiple matches ['Z98890', 'Z98891'], chose Z98890"
R51,"Conflict for R51: multiple matches ['R510', 'R519'], chose R510"
K210,"Conflict for K210: multiple matches ['K2100', 'K2101'], chose K2100"
B373,"Conflict for B373: multiple matches ['B3731', 'B3732'], chose B3731"
O9989,"Conflict for O9989: multiple matches ['O99891', 'O99892', 'O99893'], chose O99891"
F328,"Conflict for F328: multiple matches ['F3281', 'F3289'], chose F3281"
E668,"Conflict for E668: multiple matches ['E66811', 'E66812', 'E66813', 'E6689'], chose E66811"
O3421,"Conflict for O3421: multiple matches ['O34211', 'O34212', 'O34218', 'O34219'], chose O34211"
Z36,"Conflict for Z36: multiple matches ['Z360', 'Z361', 'Z362', 'Z363', 'Z364', 'Z365', 'Z3681', 'Z3682', 'Z3683', 'Z3684', 'Z3685', 'Z3686', 'Z3687', 'Z3688', 'Z3689', 'Z368A', 'Z369'], chose Z360"
F438,"Conflict for F438: multiple matches ['F4381', 'F4389'], chose F4381"
N508,"Conflict for N508: multiple matches ['N50811', 'N50812', 'N50819', 'N5082', 'N5089'], chose N50811"
Z048,"Conflict for Z048: multiple matches ['Z0481', 'Z0482', 'Z0489'], chose Z0481"
M5022,"Conflict for M5022: multiple matches ['M50220', 'M50221', 'M50222', 'M50223'], chose M50220"
K859,"Conflict for K859: multiple matches ['K8590', 'K8591', 'K8592'], chose K8590"
N61,"Conflict for N61: multiple matches ['N610', 'N611', 'N6120', 'N6121', 'N6122', 'N6123'], chose N610"
M5137,"Conflict for M5137: multiple matches ['M51370', 'M51371', 'M51372', 'M51379'], chose M51370"
I472,"Conflict for I472: multiple matches ['I4720', 'I4721', 'I4729'], chose I4720"
M5136,"Conflict for M5136: multiple matches ['M51360', 'M51361', 'M51362', 'M51369'], chose M51360"
D481,"Conflict for D481: multiple matches ['D48110', 'D48111', 'D48112', 'D48113', 'D48114', 'D48115', 'D48116', 'D48117', 'D48118', 'D48119', 'D4819'], chose D48110"
R740,"Conflict for R740: multiple matches ['R7401', 'R7402'], chose R7401"
I712,"Conflict for I712: multiple matches ['I7120', 'I7121', 'I7122', 'I7123'], chose I7120"
T148,"Conflict for T148: multiple matches ['T148XXA', 'T148XXD', 'T148XXS'], chose T148XXA"
M2660,"Conflict for M2660: multiple matches ['M26601', 'M26602', 'M26603', 'M26609'], chose M26601"
N63,"Conflict for N63: multiple matches ['N630', 'N6310', 'N6311', 'N6312', 'N6313', 'N6314', 'N6315', 'N6320', 'N6321', 'N6322', 'N6323', 'N6324', 'N6325', 'N6331', 'N6332', 'N6341', 'N6342'], chose N630"
Z9111,"Conflict for Z9111: multiple matches ['Z91110', 'Z91118', 'Z91119'], chose Z91110"
N8320,"Conflict for N8320: multiple matches ['N83201', 'N83202', 'N83209'], chose N83201"
Z9114,"Conflict for Z9114: multiple matches ['Z91141', 'Z91148'], chose Z91141"
N8329,"Conflict for N8329: multiple matches ['N83291', 'N83292', 'N83299'], chose N83291"
N800,"Conflict for N800: multiple matches ['N8000', 'N8001', 'N8002', 'N8003'], chose N8000"
M791,"Conflict for M791: multiple matches ['M7910', 'M7911', 'M7912', 'M7918'], chose M7910"
N801,"Conflict for N801: multiple matches ['N80101', 'N80102', 'N80103', 'N80109', 'N80111', 'N80112', 'N80113', 'N80119', 'N80121', 'N80122', 'N80123', 'N80129'], chose N80101"
N803,"Conflict for N803: multiple matches ['N8030', 'N80311', 'N80312', 'N80319', 'N80321', 'N80322', 'N80329', 'N80331', 'N80332', 'N80333', 'N80339', 'N80341', 'N80342', 'N80343', 'N80349', 'N80351', 'N80352', 'N80353', 'N80359', 'N80361', 'N80362', 'N80363', 'N80369', 'N80371', 'N80372', 'N80373', 'N80379', 'N80381', 'N80382', 'N80383', 'N80389', 'N803A1', 'N803A2', 'N803A3', 'N803A9', 'N803B1', 'N803B2', 'N803B3', 'N803B9', 'N803C1', 'N803C2', 'N803C3', 'N803C9', 'N80391', 'N80392', 'N80399'], chose N8030"
G968,"Conflict for G968: multiple matches ['G96810', 'G96811', 'G96819', 'G9689'], chose G96810"
H578,"Conflict for H578: multiple matches ['H57811', 'H57812', 'H57813', 'H57819', 'H5789', 'H578A1', 'H578A2', 'H578A3', 'H578A9'], chose H57811"
M5012,"Conflict for M5012: multiple matches ['M50120', 'M50121', 'M50122', 'M50123'], chose M50120"
Q254,"Conflict for Q254: multiple matches ['Q2540', 'Q2541', 'Q2542', 'Q2543', 'Q2544', 'Q2545', 'Q2546', 'Q2547', 'Q2548', 'Q2549'], chose Q2540"
Q667,"Conflict for Q667: multiple matches ['Q6670', 'Q6671', 'Q6672'], chose Q6670"
K088,"Conflict for K088: multiple matches ['K0881', 'K0882', 'K0889'], chose K0881"
M5032,"Conflict for M5032: multiple matches ['M50320', 'M50321', 'M50322', 'M50323'], chose M50320"
Z915,"Conflict for Z915: multiple matches ['Z9151', 'Z9152'], chose Z9151"
M9250,"Conflict for M9250: multiple matches ['M92501', 'M92502', 'M92503', 'M92509'], chose M92501"
M4806,"Conflict for M4806: multiple matches ['M48061', 'M48062'], chose M48061"
K228,"Conflict for K228: multiple matches ['K2281', 'K2282', 'K2289'], chose K2281"
R8299,"Conflict for R8299: multiple matches ['R82991', 'R82992', 'R82993', 'R82994', 'R82998'], chose R82991"
M9252,"Conflict for M9252: multiple matches ['M92521', 'M92522', 'M92523', 'M92529'], chose M92521"
M659,"Conflict for M659: multiple matches ['M6590', 'M65911', 'M65912', 'M65919', 'M65921', 'M65922', 'M65929', 'M65931', 'M65932', 'M65939', 'M65941', 'M65942', 'M65949', 'M65951', 'M65952', 'M65959', 'M65961', 'M65962', 'M65969', 'M65971', 'M65972', 'M65979', 'M6598', 'M6599'], chose M6590"
I471,"Conflict for I471: multiple matches ['I4710', 'I4711', 'I4719'], chose I4710"
E780,"Conflict for E780: multiple matches ['E7800', 'E7801'], chose E7800"
F502,"Conflict for F502: multiple matches ['F5020', 'F5021', 'F5022', 'F5023', 'F5024', 'F5025'], chose F5020"
G933,"Conflict for G933: multiple matches ['G9331', 'G9332', 'G9339'], chose G9331"
Z283,"Conflict for Z283: multiple matches ['Z28310', 'Z28311', 'Z2839'], chose Z28310"
F348,"Conflict for F348: multiple matches ['F3481', 'F3489'], chose F3481"
A047,"Conflict for A047: multiple matches ['A0471', 'A0472'], chose A0471"
N941,"Conflict for N941: multiple matches ['N9410', 'N9411', 'N9412', 'N9419'], chose N9410"
L298,"Conflict for L298: multiple matches ['L2981', 'L2989'], chose L2981"
Q211,"Conflict for Q211: multiple matches ['Q2110', 'Q2111', 'Q2112', 'Q2113', 'Q2114', 'Q2115', 'Q2116', 'Q2119'], chose Q2110"
E784,"Conflict for E784: multiple matches ['E7841', 'E7849'], chose E7841"
R827,"Conflict for R827: multiple matches ['R8271', 'R8279'], chose R8271"
R938,"Conflict for R938: multiple matches ['R93811', 'R93812', 'R93813', 'R93819', 'R9389'], chose R93811"
T1490,"Conflict for T1490: multiple matches ['T1490XA', 'T1490XD', 'T1490XS'], chose T1490XA"
D721,"Conflict for D721: multiple matches ['D7210', 'D72110', 'D72111', 'D72118', 'D72119', 'D7212', 'D7218', 'D7219'], chose D7210"
L668,"Conflict for L668: multiple matches ['L6681', 'L6689'], chose L6681"
F5081,"Conflict for F5081: multiple matches ['F50810', 'F50811', 'F50812', 'F50813', 'F50814', 'F50819'], chose F50810"
D2311,"Conflict for D2311: multiple matches ['D23111', 'D23112'], chose D23111"
M9251,"Conflict for M9251: multiple matches ['M92511', 'M92512', 'M92513', 'M92519'], chose M92511"
K603,"Conflict for K603: multiple matches ['K6030', 'K60311', 'K60312', 'K60313', 'K60319', 'K60321', 'K60322', 'K60323', 'K60329'], chose K6030"
E8881,"Conflict for E8881: multiple matches ['E88810', 'E88811', 'E88818', 'E88819'], chose E88810"
R312,"Conflict for R312: multiple matches ['R3121', 'R3129'], chose R3121"
N183,"Conflict for N183: multiple matches ['N1830', 'N1831', 'N1832'], chose N1830"
K208,"Conflict for K208: multiple matches ['K2080', 'K2081'], chose K2080"
Z8371,"Conflict for Z8371: multiple matches ['Z83710', 'Z83711', 'Z83718', 'Z83719'], chose Z83710"
R972,"Conflict for R972: multiple matches ['R9720', 'R9721'], chose R9720"
M2662,"Conflict for M2662: multiple matches ['M26621', 'M26622', 'M26623', 'M26629'], chose M26621"
H5451,"Conflict for H5451: multiple matches ['H54511A', 'H54512A'], chose H54511A"
H1851,"Conflict for H1851: multiple matches ['H18511', 'H18512', 'H18513', 'H18519'], chose H18511"
Z598,"Conflict for Z598: multiple matches ['Z59811', 'Z59812', 'Z59819', 'Z5982', 'Z5986', 'Z5987', 'Z5989'], chose Z59811"
F42,"Conflict for F42: multiple matches ['F422', 'F423', 'F424', 'F428', 'F429'], chose F422"
E208,"Conflict for E208: multiple matches ['E20810', 'E20811', 'E20812', 'E20818', 'E20819', 'E2089'], chose E20810"
Z134,"Conflict for Z134: multiple matches ['Z1340', 'Z1341', 'Z1342', 'Z1349'], chose Z1340"
I714,"Conflict for I714: multiple matches ['I7140', 'I7141', 'I7142', 'I7143'], chose I7140"
N830,"Conflict for N830: multiple matches ['N8300', 'N8301', 'N8302'], chose N8300"
F508,"Conflict for F508: multiple matches ['F50810', 'F50811', 'F50812', 'F50813', 'F50814', 'F50819', 'F5082', 'F5083', 'F5084', 'F5089'], chose F50810"
Q663,"Conflict for Q663: multiple matches ['Q6630', 'Q6631', 'Q6632'], chose Q6630"
K209,"Conflict for K209: multiple matches ['K2090', 'K2091'], chose K2090"
J985,"Conflict for J985: multiple matches ['J9851', 'J9859'], chose J9851"
E872,"Conflict for E872: multiple matches ['E8720', 'E8721', 'E8722', 'E8729'], chose E8720"
N358,"Conflict for N358: multiple matches ['N35811', 'N35812', 'N35813', 'N35814', 'N35816', 'N35819', 'N3582'], chose N35811"
N359,"Conflict for N359: multiple matches ['N35911', 'N35912', 'N35913', 'N35914', 'N35916', 'N35919', 'N3592'], chose N35911"
Z298,"Conflict for Z298: multiple matches ['Z2981', 'Z2989'], chose Z2981"
K565,"Conflict for K565: multiple matches ['K5650', 'K5651', 'K5652'], chose K5650"
K3589,"Conflict for K3589: multiple matches ['K35890', 'K35891'], chose K35890"
K353,"Conflict for K353: multiple matches ['K3530', 'K3531', 'K3532', 'K3533'], chose K3530"
T1491,"Conflict for T1491: multiple matches ['T1491XA', 'T1491XD', 'T1491XS'], chose T1491XA"
I7101,"Conflict for I7101: multiple matches ['I71010', 'I71011', 'I71012', 'I71019'], chose I71010"
Q6621,"Conflict for Q6621: multiple matches ['Q66211', 'Q66212', 'Q66219'], chose Q66211"
F53,"Conflict for F53: multiple matches ['F530', 'F531'], chose F530"
K605,"Conflict for K605: multiple matches ['K6050', 'K60511', 'K60512', 'K60513', 'K60519', 'K60521', 'K60522', 'K60523', 'K60529'], chose K6050"
T07,"Conflict for T07: multiple matches ['T07XXXA', 'T07XXXD', 'T07XXXS'], chose T07XXXA"
H1853,"Conflict for H1853: multiple matches ['H18531', 'H18532', 'H18533', 'H18539'], chose H18531"
K352,"Conflict for K352: multiple matches ['K35200', 'K35201', 'K35209', 'K35210', 'K35211', 'K35219'], chose K35200"
Z86010,"Conflict for Z86010: multiple matches ['Z860100', 'Z860101', 'Z860102', 'Z860109'], chose Z860100"
Z590,"Conflict for Z590: multiple matches ['Z5900', 'Z5901', 'Z5902'], chose Z5900"
I348,"Conflict for I348: multiple matches ['I3481', 'I3489'], chose I3481"
R358,"Conflict for R358: multiple matches ['R3581', 'R3589'], chose R3581"
K5669,"Conflict for K5669: multiple matches ['K56690', 'K56691', 'K56699'], chose K56690"
K913,"Conflict for K913: multiple matches ['K9130', 'K9131', 'K9132'], chose K9130"
