Code,Issue
DOD0215,No match found in ICD-9
DOD0225,No match found in ICD-9
DOD0214,No match found in ICD-9
DOD0102,No match found in ICD-9
7707213,No match found in ICD-10
DOD0121,"Multiple matches: ['01210', '01211', '01212', '01213', '01214', '01215', '01216']"
DOD0217,No match found in ICD-9
DOD0226,No match found in ICD-9
DOD0216,No match found in ICD-9
Z2251,No match found in ICD-10
DOD0224,No match found in ICD-9
DOD0101,"Multiple matches: ['01010', '01011', '01012', '01013', '01014', '01015', '01016']"
T814XXD,No match found in ICD-10
T814XXA,No match found in ICD-10
V274XXD,No match found in ICD-10
DOD0122,"Multiple matches: ['01220', '01221', '01222', '01223', '01224', '01225', '01226']"
DOD0227,No match found in ICD-9
H4011X2,No match found in ICD-10
V2988XA,No match found in ICD-10
V282XXA,No match found in ICD-10
S023XXG,No match found in ICD-10
S023XXA,No match found in ICD-10
V270XXA,No match found in ICD-10
V299XXD,No match found in ICD-10
T670XXD,No match found in ICD-10
6228722,No match found in ICD-10
V224XXA,No match found in ICD-10
V280XXA,No match found in ICD-10
S023XXD,No match found in ICD-10
H4011X3,No match found in ICD-10
V2940XA,No match found in ICD-10
H4011X1,No match found in ICD-10
S0262XA,No match found in ICD-10
S0264XA,No match found in ICD-10
V271XXD,No match found in ICD-10
T8132XA,No match found in ICD-10
V293XXS,No match found in ICD-10
V293XXD,No match found in ICD-10
DOD0124,No match found in ICD-9
V200XXA,No match found in ICD-10
V234XXA,No match found in ICD-10
DOD0123,"Multiple matches: ['01230', '01231', '01232', '01233', '01234', '01235', '01236']"
V299XXA,No match found in ICD-10
H8149,No match found in ICD-10
V284XXA,No match found in ICD-10
DOD0125,No match found in ICD-9
V235XXA,No match found in ICD-10
V265XXD,No match found in ICD-10
V234XXD,No match found in ICD-10
V299XXS,No match found in ICD-10
V2988XD,No match found in ICD-10
T814XXS,No match found in ICD-10
V280XXD,No match found in ICD-10
V244XXA,No match found in ICD-10
V274XXA,No match found in ICD-10
V284XXD,No match found in ICD-10
V2950XA,No match found in ICD-10
V230XXD,No match found in ICD-10
T670XXA,No match found in ICD-10
V204XXA,No match found in ICD-10
T404X5A,No match found in ICD-10
V275XXA,No match found in ICD-10
V293XXA,No match found in ICD-10
V230XXA,No match found in ICD-10
V269XXD,No match found in ICD-10
V269XXA,No match found in ICD-10
V2988XS,No match found in ICD-10
S028XXA,No match found in ICD-10
V2949XA,No match found in ICD-10
V2940XD,No match found in ICD-10
V2960XA,No match found in ICD-10
V270XXD,No match found in ICD-10
V2929XA,No match found in ICD-10
T670XXS,No match found in ICD-10
V2900XA,No match found in ICD-10
V2950XD,No match found in ICD-10
V289XXA,No match found in ICD-10
V282XXD,No match found in ICD-10
V234XXS,No match found in ICD-10
V235XXD,No match found in ICD-10
H8143,No match found in ICD-10
V239XXA,No match found in ICD-10
V239XXD,No match found in ICD-10
V2949XD,No match found in ICD-10
V2940XS,No match found in ICD-10
V2960XD,No match found in ICD-10
V262XXA,No match found in ICD-10
V230XXS,No match found in ICD-10
V231XXS,No match found in ICD-10
6082344,No match found in ICD-10
V285XXA,No match found in ICD-10
V280XXS,No match found in ICD-10
1221995,No match found in ICD-10
V235XXS,No match found in ICD-10
V231XXD,No match found in ICD-10
1221929,No match found in ICD-10
V204XXD,No match found in ICD-10
V281XXA,No match found in ICD-10
V209XXD,No match found in ICD-10
V275XXD,No match found in ICD-10
V2920XA,No match found in ICD-10
1222001,No match found in ICD-10
1221912,No match found in ICD-10
6082346,No match found in ICD-10
V260XXS,No match found in ICD-10
V262XXD,No match found in ICD-10
H8141,No match found in ICD-10
7414054,No match found in ICD-10
7663393,No match found in ICD-10
V272XXA,No match found in ICD-10
V281XXD,No match found in ICD-10
1221921,No match found in ICD-10
1222040,No match found in ICD-10
V271XXA,No match found in ICD-10
1034761,No match found in ICD-10
1222055,No match found in ICD-10
1222033,No match found in ICD-10
V214XXD,No match found in ICD-10
V2960XS,No match found in ICD-10
7123889,No match found in ICD-10
7775459,No match found in ICD-10
V220XXS,No match found in ICD-10
